, ,Time,StnPres,Temperature,RH,WS,WD,Precp,Holiday,target
367,6677,0,1012.8,19.3,86.0,1.4,71.0,0.0,0,0
368,6698,0,1013.3,16.7,80.0,1.3,74.0,0.0,0,0
369,6761,0,1011.1,17.4,76.0,0.0,0.0,0.0,0,0
370,6782,0,1009.7,19.5,75.0,0.1,0.0,0.0,0,0
371,6803,0,1008.7,22.2,73.0,1.2,66.0,0.0,0,1
372,6824,0,1009.3,21.7,90.0,0.3,79.0,0.0,0,0
373,6845,0,1013.9,16.8,96.0,0.9,88.0,1.5,0,0
374,6908,0,1008.0,18.7,94.0,1.1,81.0,0.0,0,0
375,6929,0,1014.7,14.4,91.0,0.9,81.0,0.0,0,0
376,6950,0,1019.8,12.6,87.0,1.1,74.0,0.0,0,0
377,6971,0,1020.4,13.9,77.0,1.4,70.0,0.0,0,1
378,6992,0,1019.4,14.8,97.0,2.0,80.0,0.5,0,1
379,42,0,1016.1,21.1,76.0,3.8,50.0,0.0,0,0
380,63,0,1015.4,20.5,84.0,3.4,50.0,0.0,0,0
381,84,0,1012.5,22.2,73.0,2.7,40.0,0.0,0,1
382,105,0,1013.0,22.0,77.0,1.1,200.0,0.0,0,1
383,168,0,1012.8,18.2,76.0,4.5,50.0,0.0,0,0
384,189,0,1016.2,17.0,66.0,2.9,60.0,0.0,0,0
